Term name,Short name,Context,Source,Related term,Partner information,URL
OBSERVED NOMINAL RATE OF PROTECTION,NRPo,Ratio between the price gap and the observed reference price measured at the same point in the value chain. It measures the effect (in relative terms) of domestic market and trade policies and overall market performance on prices received by agents in the value chain. Calculated at the point of competition and at the farm gate.,MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Narrower term: Observed access costs,Adjusted nominal rate of protection,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/observed-nominal-rate-of-protection/
OBSERVED ACCESS COSTS,,Costs incurred to bring a commodity from one point in the value chain to another as currently prevailing in the country.,MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives,Adjusted access costs,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/observed-access-costs/
"PRICE, ADJUSTED REFERENCE",,"Benchmark price measured at the point of competition or farm gate level after adjustment for respective access costs. It is derived using the data as defined in the adjusted domain. It reflects the maximum price that could be obtained if trade and market policies, excessive access costs within the domestic commodity value chain, international market distortions were removed; the country would follow a non-distortive exchange rate policy and overall market performance in the country enhanced. It is derived using adjusted data and can be calculated at the point of competition and at the farm gate.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Adjusted price gap Narrower term: Benchmark price,Observed reference price Synonym: Adjusted reference price,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/price-adjusted-reference/
"PRICE, PRODUCER",,"A producer price is the average price or unit value received by farmers in the domestic market for a specific agricultural commodity produced within a specified 12-month period. This price is measured at the farm gate — that is, at the point where the commodity leaves the farm — and therefore does not incorporate the costs of transport and processing.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Synonym: Producer price",,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/price-producer/
PRODUCER PERCENTAGE SINGLE COMMODITY TRANSFERS,producer %SCT,The commodity SCT as a share of gross farm receipts for the specific commodity.,"Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Producer Support Estimate Narrower term: Market Price Differential",Producer Single Commodity Transfers,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/producer-percentage-single-commodity-transfers/
PRODUCER SINGLE COMMODITY TRANSFERS,producer SCT,"The annual monetary value of gross transfers from consumers and taxpayers to agricultural producers, measured at the farm gate level, arising from policy measures directly linked to the production of a single commodity such that the producer must produce the designated commodity in order to receive the transfer.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Producer Support Estimate Narrower term: Market Price Differential",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/producer-single-commodity-transfers/
PRODUCER NOMINAL PROTECTION CO-EFFICIENT,NPC,"The Producer Nominal Protection Co-efficient (NPC) is an indicator of the nominal rate of protection for producers measuring the ratio between the average price received by producers (at farm gate), including payments per tonne of current output, and the border price (measured at farm gate level).","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/producer-nominal-protection-co-efficient/
PRODUCER NOMINAL ASSISTANCE CO-EFFICIENT,NACp,The Producer Nominal Assistance Co-efficient (NACp) is an indicator of the nominal rate of assistance to producers measuring the ratio between the value of gross farm receipts including support and gross farm receipts valued at world market prices without support,"Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/producer-nominal-assistance-co-efficient/
PERCENTAGE PSE,%PSE,PSE as a share of gross farm receipts (including support).,"Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD",Producer Support Estimate,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/percentage-pse/
PRICE LEVIES,LV,"Sometimes termed production taxes, which can be imposed on producers as part of market price support policy. Examples: Levy imposed on EU milk producers when they exceed their production quotas. Levies charged on producers to finance some of the cost of export subsidization. LV is an observed value, which is obtained from the information on budgetary expenditures.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Market Price Support Narrower term: Producer price",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/price-levies/
PRODUCER PRICE,,"A producer price is the average price or unit value received by farmers in the domestic market for a specific agricultural commodity produced within a specified 12-month period. This price is measured at the farm gate — that is, at the point where the commodity leaves the farm — and therefore does not incorporate the costs of transport and processing.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD",,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/producer-price/
PRODUCER SUPPORT ESTIMATE,PSE,"The Producer Support Estimate (PSE) is an indicator of the annual monetary value of gross transfers from consumers and taxpayers to support agricultural producers, measured at farm gate level, arising from policy measures, regardless of their nature, objectives or impacts on farm production or income. Context: The PSE measures support arising from policies targeted to agriculture relative to a situation without such policies — i.e., when producers are subject only to general policies (including economic, social, environmental and tax policies) of the country. The PSE is a gross notion implying that any costs associated with those policies and incurred by individual producers are not deducted. It is also a nominal assistance notion meaning that increased costs associated with import duties on inputs are not deducted. But it is an indicator net of producer contributions to help finance the policy measure (e.g. producer levies) providing a given transfer to producers. The PSE includes implicit and explicit transfers. The percentage PSE (%PSE) is the ratio of the PSE to the value of total gross farm receipts, measured by the value of total farm production (at farm gate prices), plus budgetary support. The nomenclature and definitions of this indicator replaced the former Producer Subsidy Equivalent in 1999.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Total Support Estimate Narrower term: Market Price Support",Aggregate measurement of support,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/producer-support-estimate/
TOTAL SUPPORT ESTIMATE,TSE,"The Total Support Estimate (TSE) is an indicator of the annual monetary value of all gross transfers from taxpayers and consumers arising from policy measures which support agriculture, net of the associated budgetary receipts, regardless of their objectives and impact on farm production and income, or consumption of farm products. Context: The TSE is the sum of the explicit and implicit gross transfers from consumers of agricultural commodities to agricultural producers net of producer financial contributions (in MPS and CSE); the gross transfers from taxpayers to agricultural producers (in PSE); the gross transfers from taxpayers to general services provided to agriculture (GSSE); and the gross transfers from taxpayers to consumers of agricultural commodities (in CSE). As the transfers from consumers to producers are included in the MPS, the TSE is also the sum of the PSE, the GSSE, and the transfers from taxpayers to consumers (in CSE). The TSE measures the overall transfers associated with agricultural support, financed by consumers (transfers from consumers) and taxpayers (transfers from taxpayers) net of import receipts (budget revenues).","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Narrower term: Producer Support Estimate",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/total-support-estimate/
